Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
Mapping,,,
### CmpPtnName,func label,endpoint,sched priority
HMI,startThread,hmiDev,10
HMI,startMeasure,hmiDev,10
HMI,generatePckt,hmiDev,10
HMI,accelEncrypt,hmiDev,10
HMI,validateSrc,hmiDev,10
HMI,accelDecrypt,hmiDev,10
HMI,processRtn,hmiDev,10
HMI,endMeasure,hmiDev,10
HMI,endThread,hmiDev,10
,,,
HMIAuth,authenticate,hmiDev,10
,,,
Embedded,validateSrc,embeddedDev,10
Embedded,reqDecrypt,embeddedDev,10
Embedded,embeddedProcess,embeddedDev,10
Embedded,reqEncrypt,embeddedDev,10
,,,
EmbeddedAuth,authenticate,embeddedDev,10
,,,
Crypto,cryptoProcess,sslDev,10
,,,
,,,
### color key,,,
### Category label,,,
### singleton descriptor ,,,
### list descriptor,,,
### dict descriptor,,,
